seed,chunk_size,m_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_points,m_summary,levels_used,points_seen,avg_update_ms
42,4096,1.0,0.35271270000521326,5632.0,21635.56788605897,0.4620056294311731,0.692792175128664,0.692792175128664,64,32,2,10000,109.89086666813819
77,4096,1.0,0.12355219999881228,5632.0,22107.64004143318,0.46074054475381077,0.6884347565075493,0.6884347565075493,64,32,2,10000,33.0916333332425
211,4096,1.0,0.13431929999933345,5632.0,22485.038069404418,0.453558324558412,0.6858682045762353,0.6858682045762353,64,32,2,10000,35.9848333367457
42,4096,2.0,0.13463359999877866,5632.0,21635.56788605897,0.4620056294311731,0.692792175128664,0.692792175128664,64,32,2,10000,36.75669999938691
77,4096,2.0,0.14958710000064457,5632.0,22107.64004143318,0.46074054475381077,0.6884347565075493,0.6884347565075493,64,32,2,10000,40.19200000281368
211,4096,2.0,0.42366649999894435,5632.0,22485.03806940442,0.453558324558412,0.6858682045762353,0.6858682045762353,64,32,2,10000,117.75710000074469
42,4096,3.0,0.357164200002444,7392.0,22284.21035843258,0.46322039203635335,0.6926489866988904,0.6926489866988904,84,42,2,10000,98.62853333712944
77,4096,3.0,0.29168319999735104,7392.0,21640.31043078137,0.4680026634689366,0.6864017242763913,0.6864017242763913,84,42,2,10000,83.98753333070393
211,4096,3.0,0.25994429999991553,7392.0,22165.80294544404,0.47247158967436154,0.6895866968097418,0.6895866968097418,84,42,2,10000,70.67920000311763
42,4096,4.0,0.24767260000226088,9856.0,21160.02156286208,0.4592075136657789,0.6914602834094961,0.6914602834094961,112,56,2,10000,69.13816666443988
77,4096,4.0,0.22788930000388063,9856.0,21516.18951949234,0.4457333563194137,0.6895274300276395,0.6895274300276395,112,56,2,10000,65.76383333352472
211,4096,4.0,0.26230979999672854,9856.0,22336.440489474022,0.4600957995218347,0.6853540967407352,0.6853540967407352,112,56,2,10000,73.87599999735055
42,4096,5.0,0.3072124999962398,12320.0,21000.86827416513,0.44812471564116324,0.6885461572725671,0.6885461572725671,140,70,2,10000,91.03299999939433
77,4096,5.0,0.36661409999942407,12320.0,22309.830645857342,0.45640777919515724,0.6842528581750834,0.6842528581750834,140,70,2,10000,112.34763333292601
211,4096,5.0,0.38111059999937424,12320.0,21167.598182504036,0.45745147290288174,0.6937126277826859,0.6937126277826859,140,70,2,10000,96.3096000001921
